wave,self_age_group,contact_age_group,contacts_mean,EPA_coresidents_mean,survey_coresidents_mean,total_contacts_mean
3,16,10,0.349352954460028,0.5785435467340574,0.446022966357262,0.9278965011940854
1,16,20,0.539939387172003,0.39052066131627194,0.562142129790396,0.9304600484882749
2,16,20,0.614630915787781,0.395342128490615,0.431692724667639,1.009973044278396
3,16,20,0.677965915100403,0.395342128490615,0.459080453787814,1.073308043591018
1,16,30,0.701509835921714,0.13505252681240063,0.384137909068195,0.8365623627341147
2,16,30,0.790873868642289,0.12548484142572816,0.217299012782129,0.9163587100680172
3,16,30,0.936843645006712,0.12548484142572816,0.302079075379818,1.0623284864324403
1,16,40,0.838046326893334,0.8117711707755465,0.47098543721541,1.6498174976688804
2,16,40,0.911271730127088,0.8015461158908831,0.322014804238761,1.712817846017971
3,16,40,0.995763389703562,0.8015461158908831,0.286233869201295,1.7973095055944452
